Location,Fuel Type,bt,km,Transmission,ownerNo,oem,model,modelYear,Displacement,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Location_encode,Fuel Type_encode,bt_encode,Transmission_encode,oem_encode,model_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Delhi,Petrol,Hatchback,52514,Manual,1,Maruti,Maruti Wagon R,2013,998,Third Party,3.0,Silver,4.0,K Series Petrol Engine,5,18.9,90.0,0.9969486348916096,67.1,2,4,2,1,19,161,4,108,260
Delhi,Petrol,Hatchback,13001,Manual,1,Maruti,Maruti Wagon R,2022,1197,Comprehensive,4.0,Grey,4.0,K12M Petrol Engine,5,21.5,113.0,1.713797927758343,81.8,2,4,2,1,19,161,2,55,268
Delhi,Diesel,SUV,72000,Manual,1,Hyundai,Hyundai Creta,2018,1396,Comprehensive,4.0,White,4.0,U2 CRDI Engine,5,22.1,219.7,2.1102132003465894,88.7,2,1,7,1,8,66,2,129,382
Delhi,Petrol,SUV,62000,Manual,1,Ford,Ford Ecosport,2017,1496,Comprehensive,3.0,Silver,4.0,Ti-VCT Petrol Engine,5,15.9,149.0,1.7900914121273581,120.69,2,4,7,1,6,45,2,108,360
Delhi,Petrol,Sedan,34000,Manual,1,Toyota,Toyota Etios,2017,1496,Comprehensive,4.0,Silver,4.0,Petrol Engine,5,16.78,132.0,1.5706970841176697,88.73,2,4,8,1,28,245,2,108,311
Delhi,Petrol,Sedan,67000,Manual,1,Honda,Honda Amaze,2015,1198,Comprehensive,4.0,White,4.0,i-VTEC Petrol Engine,5,18.0,109.0,1.3480731482996928,86.7,2,4,8,1,7,52,2,129,436
Delhi,Petrol,Hatchback,45000,Manual,1,Volkswagen,Volkswagen Polo,2019,999,Comprehensive,3.0,White,4.0,MPI Petrol Engine,5,18.78,95.0,1.944480556245719,75.0,2,4,2,1,29,260,2,129,300
Delhi,Petrol,Sedan,64000,Manual,1,Maruti,Maruti Swift Dzire,2013,1197,Comprehensive,4.0,White,4.0,K Series VVT Engine,5,20.85,115.0,1.1969481893889715,83.14,2,4,8,1,19,157,2,129,262
Delhi,Petrol,Hatchback,58000,Manual,2,Chevrolet,Chevrolet Beat,2013,1199,Comprehensive,4.0,Silver,4.0,Smartech Engine,5,18.6,108.0,0.5766133643039938,79.4,2,4,2,1,2,22,2,108,335
Delhi,Petrol,SUV,48000,Automatic,2,Hyundai,Hyundai Creta,2017,1591,Comprehensive,4.0,White,4.0,VTVT Petrol Engine,5,14.8,151.0,2.224623551524334,121.3,2,4,7,0,8,66,2,129,410
